100,345,100,405
100,305,100,352,100,398,100,445
100,265,100,309,100,353,100,397,100,441,100,485
100,260,100,304,100,348,100,392,100,436,100,480
100,260,100,302,100,344,100,386,100,428,100,470
100,260,100,300,100,340,100,380,100,420,100,460
100,260,100,298,100,336,100,374,100,412,100,450
100,260,100,296,100,332,100,368,100,404,100,440
100,260,100,294,100,328,100,362,100,396,100,430
100,260,100,292,100,324,100,356,100,388,100,420
100,260,100,290,100,320,100,350,100,380,100,410
100,260,100,288,100,316,100,344,100,372,100,400
100,260,100,286,100,312,100,338,100,364,100,390
100,265,100,309,100,441,100,485
100,305,100,352,100,398,100,445
100,398,100,445
100,345,100,405
100,305,100,352,100,398,100,445
