270,260,350,260,270,290,350,290,270,320,350,320,270,325,550,325
270,260,350,260,270,305,350,305,270,350,350,350,270,325,550,325
270,270,350,270,270,320,350,320,270,370,350,370,270,325,550,325
270,285,350,285,270,335,350,335,270,385,350,385,270,325,550,325
270,310,350,310,270,350,350,350,270,390,350,390,270,325,550,325
270,340,350,340,270,365,350,365,270,390,350,390,270,325,550,325
270,350,350,370,270,370,350,390,270,390,350,410,270,325,550,325
270,350,350,400,270,370,350,420,270,390,350,440,270,325,550,325
270,350,350,430,270,370,350,450,270,390,350,470,270,325,550,325
270,350,350,460,270,370,350,480,270,390,350,500,270,325,550,325
220,400,360,480,240,400,380,480,260,400,400,480,270,325,550,325
220,400,360,510,240,400,380,510,260,400,400,510,270,325,550,325
220,400,360,480,240,400,380,480,260,400,400,480,270,325,550,325
270,350,350,460,270,370,350,480,270,390,350,500,270,325,550,325
270,350,350,430,270,370,350,450,270,390,350,470,270,325,550,325
270,350,350,400,270,370,350,420,270,390,350,440,270,325,550,325
270,350,350,370,270,370,350,390,270,390,350,410,270,325,550,325
270,340,350,340,270,360,350,360,270,380,350,380,270,325,550,325
270,310,350,310,270,330,350,330,270,350,350,350,270,325,550,325
270,280,350,280,270,300,350,300,270,320,350,320,270,325,550,325
270,260,350,250,270,280,350,270,270,300,350,290,270,325,550,325
270,260,350,220,270,280,350,240,270,300,350,260,270,325,550,325
270,260,350,190,270,280,350,210,270,300,350,230,270,325,550,325
270,260,350,160,270,280,350,180,270,300,350,200,270,325,550,325
